Version;File;Buggy
1;circe-checksum/src/main/java/com/scurrilous/circe/CommonHashes.java;no
2;circe-checksum/src/main/java/com/scurrilous/circe/CommonHashes.java;no
3;circe-checksum/src/main/java/com/scurrilous/circe/CommonHashes.java;no
4;circe-checksum/src/main/java/com/scurrilous/circe/CommonHashes.java;no
5;circe-checksum/src/main/java/com/scurrilous/circe/CommonHashes.java;no
6;circe-checksum/src/main/java/com/scurrilous/circe/CommonHashes.java;no
7;circe-checksum/src/main/java/com/scurrilous/circe/CommonHashes.java;no
1;circe-checksum/src/main/java/com/scurrilous/circe/Hash.java;no
2;circe-checksum/src/main/java/com/scurrilous/circe/Hash.java;no
3;circe-checksum/src/main/java/com/scurrilous/circe/Hash.java;no
4;circe-checksum/src/main/java/com/scurrilous/circe/Hash.java;no
5;circe-checksum/src/main/java/com/scurrilous/circe/Hash.java;no
6;circe-checksum/src/main/java/com/scurrilous/circe/Hash.java;no
7;circe-checksum/src/main/java/com/scurrilous/circe/Hash.java;no
1;circe-checksum/src/main/java/com/scurrilous/circe/HashParameters.java;no
2;circe-checksum/src/main/java/com/scurrilous/circe/HashParameters.java;no
3;circe-checksum/src/main/java/com/scurrilous/circe/HashParameters.java;no
4;circe-checksum/src/main/java/com/scurrilous/circe/HashParameters.java;no
5;circe-checksum/src/main/java/com/scurrilous/circe/HashParameters.java;no
6;circe-checksum/src/main/java/com/scurrilous/circe/HashParameters.java;no
7;circe-checksum/src/main/java/com/scurrilous/circe/HashParameters.java;no
1;circe-checksum/src/main/java/com/scurrilous/circe/HashProvider.java;no
2;circe-checksum/src/main/java/com/scurrilous/circe/HashProvider.java;no
3;circe-checksum/src/main/java/com/scurrilous/circe/HashProvider.java;no
4;circe-checksum/src/main/java/com/scurrilous/circe/HashProvider.java;no
5;circe-checksum/src/main/java/com/scurrilous/circe/HashProvider.java;no
6;circe-checksum/src/main/java/com/scurrilous/circe/HashProvider.java;no
7;circe-checksum/src/main/java/com/scurrilous/circe/HashProvider.java;no
1;circe-checksum/src/main/java/com/scurrilous/circe/HashProviders.java;no
2;circe-checksum/src/main/java/com/scurrilous/circe/HashProviders.java;no
3;circe-checksum/src/main/java/com/scurrilous/circe/HashProviders.java;no
4;circe-checksum/src/main/java/com/scurrilous/circe/HashProviders.java;no
5;circe-checksum/src/main/java/com/scurrilous/circe/HashProviders.java;no
6;circe-checksum/src/main/java/com/scurrilous/circe/HashProviders.java;no
7;circe-checksum/src/main/java/com/scurrilous/circe/HashProviders.java;no
1;circe-checksum/src/main/java/com/scurrilous/circe/HashSupport.java;no
2;circe-checksum/src/main/java/com/scurrilous/circe/HashSupport.java;no
3;circe-checksum/src/main/java/com/scurrilous/circe/HashSupport.java;no
4;circe-checksum/src/main/java/com/scurrilous/circe/HashSupport.java;no
5;circe-checksum/src/main/java/com/scurrilous/circe/HashSupport.java;no
6;circe-checksum/src/main/java/com/scurrilous/circe/HashSupport.java;no
7;circe-checksum/src/main/java/com/scurrilous/circe/HashSupport.java;no
1;circe-checksum/src/main/java/com/scurrilous/circe/Hashes.java;no
2;circe-checksum/src/main/java/com/scurrilous/circe/Hashes.java;no
3;circe-checksum/src/main/java/com/scurrilous/circe/Hashes.java;no
4;circe-checksum/src/main/java/com/scurrilous/circe/Hashes.java;no
5;circe-checksum/src/main/java/com/scurrilous/circe/Hashes.java;no
6;circe-checksum/src/main/java/com/scurrilous/circe/Hashes.java;no
7;circe-checksum/src/main/java/com/scurrilous/circe/Hashes.java;no
1;circe-checksum/src/main/java/com/scurrilous/circe/IncrementalIntHash.java;no
2;circe-checksum/src/main/java/com/scurrilous/circe/IncrementalIntHash.java;no
3;circe-checksum/src/main/java/com/scurrilous/circe/IncrementalIntHash.java;no
4;circe-checksum/src/main/java/com/scurrilous/circe/IncrementalIntHash.java;no
5;circe-checksum/src/main/java/com/scurrilous/circe/IncrementalIntHash.java;no
6;circe-checksum/src/main/java/com/scurrilous/circe/IncrementalIntHash.java;no
7;circe-checksum/src/main/java/com/scurrilous/circe/IncrementalIntHash.java;no
1;circe-checksum/src/main/java/com/scurrilous/circe/IncrementalLongHash.java;no
2;circe-checksum/src/main/java/com/scurrilous/circe/IncrementalLongHash.java;no
3;circe-checksum/src/main/java/com/scurrilous/circe/IncrementalLongHash.java;no
4;circe-checksum/src/main/java/com/scurrilous/circe/IncrementalLongHash.java;no
5;circe-checksum/src/main/java/com/scurrilous/circe/IncrementalLongHash.java;no
6;circe-checksum/src/main/java/com/scurrilous/circe/IncrementalLongHash.java;no
7;circe-checksum/src/main/java/com/scurrilous/circe/IncrementalLongHash.java;no
1;circe-checksum/src/main/java/com/scurrilous/circe/StatefulHash.java;no
2;circe-checksum/src/main/java/com/scurrilous/circe/StatefulHash.java;no
3;circe-checksum/src/main/java/com/scurrilous/circe/StatefulHash.java;no
4;circe-checksum/src/main/java/com/scurrilous/circe/StatefulHash.java;no
5;circe-checksum/src/main/java/com/scurrilous/circe/StatefulHash.java;no
6;circe-checksum/src/main/java/com/scurrilous/circe/StatefulHash.java;no
7;circe-checksum/src/main/java/com/scurrilous/circe/StatefulHash.java;no
1;circe-checksum/src/main/java/com/scurrilous/circe/StatefulIntHash.java;no
2;circe-checksum/src/main/java/com/scurrilous/circe/StatefulIntHash.java;no
3;circe-checksum/src/main/java/com/scurrilous/circe/StatefulIntHash.java;no
4;circe-checksum/src/main/java/com/scurrilous/circe/StatefulIntHash.java;no
5;circe-checksum/src/main/java/com/scurrilous/circe/StatefulIntHash.java;no
6;circe-checksum/src/main/java/com/scurrilous/circe/StatefulIntHash.java;no
7;circe-checksum/src/main/java/com/scurrilous/circe/StatefulIntHash.java;no
1;circe-checksum/src/main/java/com/scurrilous/circe/StatefulLongHash.java;no
2;circe-checksum/src/main/java/com/scurrilous/circe/StatefulLongHash.java;no
3;circe-checksum/src/main/java/com/scurrilous/circe/StatefulLongHash.java;no
4;circe-checksum/src/main/java/com/scurrilous/circe/StatefulLongHash.java;no
5;circe-checksum/src/main/java/com/scurrilous/circe/StatefulLongHash.java;no
6;circe-checksum/src/main/java/com/scurrilous/circe/StatefulLongHash.java;no
7;circe-checksum/src/main/java/com/scurrilous/circe/StatefulLongHash.java;no
1;circe-checksum/src/main/java/com/scurrilous/circe/StatelessHash.java;no
2;circe-checksum/src/main/java/com/scurrilous/circe/StatelessHash.java;no
3;circe-checksum/src/main/java/com/scurrilous/circe/StatelessHash.java;no
4;circe-checksum/src/main/java/com/scurrilous/circe/StatelessHash.java;no
5;circe-checksum/src/main/java/com/scurrilous/circe/StatelessHash.java;no
6;circe-checksum/src/main/java/com/scurrilous/circe/StatelessHash.java;no
7;circe-checksum/src/main/java/com/scurrilous/circe/StatelessHash.java;no
1;circe-checksum/src/main/java/com/scurrilous/circe/StatelessIntHash.java;no
2;circe-checksum/src/main/java/com/scurrilous/circe/StatelessIntHash.java;no
3;circe-checksum/src/main/java/com/scurrilous/circe/StatelessIntHash.java;no
4;circe-checksum/src/main/java/com/scurrilous/circe/StatelessIntHash.java;no
5;circe-checksum/src/main/java/com/scurrilous/circe/StatelessIntHash.java;no
6;circe-checksum/src/main/java/com/scurrilous/circe/StatelessIntHash.java;no
7;circe-checksum/src/main/java/com/scurrilous/circe/StatelessIntHash.java;no
1;circe-checksum/src/main/java/com/scurrilous/circe/StatelessLongHash.java;no
2;circe-checksum/src/main/java/com/scurrilous/circe/StatelessLongHash.java;no
3;circe-checksum/src/main/java/com/scurrilous/circe/StatelessLongHash.java;no
4;circe-checksum/src/main/java/com/scurrilous/circe/StatelessLongHash.java;no
5;circe-checksum/src/main/java/com/scurrilous/circe/StatelessLongHash.java;no
6;circe-checksum/src/main/java/com/scurrilous/circe/StatelessLongHash.java;no
7;circe-checksum/src/main/java/com/scurrilous/circe/StatelessLongHash.java;no
1;circe-checksum/src/main/java/com/scurrilous/circe/package-info.java;no
2;circe-checksum/src/main/java/com/scurrilous/circe/package-info.java;no
3;circe-checksum/src/main/java/com/scurrilous/circe/package-info.java;no
4;circe-checksum/src/main/java/com/scurrilous/circe/package-info.java;no
5;circe-checksum/src/main/java/com/scurrilous/circe/package-info.java;no
6;circe-checksum/src/main/java/com/scurrilous/circe/package-info.java;no
7;circe-checksum/src/main/java/com/scurrilous/circe/package-info.java;no
1;circe-checksum/src/test/java/com/scurrilous/circe/CommonHashesTest.java;no
2;circe-checksum/src/test/java/com/scurrilous/circe/CommonHashesTest.java;no
3;circe-checksum/src/test/java/com/scurrilous/circe/CommonHashesTest.java;no
4;circe-checksum/src/test/java/com/scurrilous/circe/CommonHashesTest.java;no
5;circe-checksum/src/test/java/com/scurrilous/circe/CommonHashesTest.java;no
6;circe-checksum/src/test/java/com/scurrilous/circe/CommonHashesTest.java;no
7;circe-checksum/src/test/java/com/scurrilous/circe/CommonHashesTest.java;no
