Version;Filename;LOC_Added;LOC_deleted;Set_size;Author
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java;5;1;3;Ivan Kelly
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/IndexPersistenceMgrTest.java;125;0;3;Ivan Kelly
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/util/IOUtils.java;42;0;20;Ivan Kelly
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/util/LocalBookKeeper.java;48;9;20;Ivan Kelly
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/BookieInitializationTest.java;48;76;20;Ivan Kelly
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/BookieJournalTest.java;44;68;20;Ivan Kelly
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/CompactionTest.java;2;6;20;Ivan Kelly
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/CookieTest.java;49;46;20;Ivan Kelly
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/EntryLogTest.java;23;19;20;Ivan Kelly
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/LedgerCacheTest.java;20;16;20;Ivan Kelly
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/TestLedgerDirsManager.java;23;3;20;Ivan Kelly
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/UpgradeTest.java;39;48;20;Ivan Kelly
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/replication/AuditorBookieTest.java;0;2;20;Ivan Kelly
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookKeeperClusterTestCase.java;13;4;20;Ivan Kelly
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieClientTest.java;2;4;20;Ivan Kelly
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieZKExpireTest.java;2;3;20;Ivan Kelly
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ConcurrentLedgerTest.java;12;3;20;Ivan Kelly
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ReadOnlyBookieTest.java;2;3;20;Ivan Kelly
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/TestBackwardCompat.java;28;30;20;Ivan Kelly
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ZooKeeperUtil.java;2;3;20;Ivan Kelly
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/util/TestDiskChecker.java;25;9;20;Ivan Kelly
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieShell.java;18;1;2;Sijie Guo
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/AbstractZkLedgerManager.java;0;1;4;Sijie Guo
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/CleanupLedgerManager.java;1;0;4;Sijie Guo
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookKeeperCloseTest.java;58;0;4;Sijie Guo
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java;7;0;2;Ivan Kelly
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/RoundRobinDistributionSchedule.java;16;18;3;Ivan Kelly
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/client/RoundRobinDistributionScheduleTest.java;84;15;3;Ivan Kelly
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java;44;10;5;Ivan Kelly
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/client/LedgerCloseTest.java;37;0;5;Ivan Kelly
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/replication/AuditorRollingRestartTest.java;1;1;5;Ivan Kelly
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/TestCallbacks.java;18;0;5;Ivan Kelly
7;bookkeeper-stats-providers/codahale-metrics-provider/src/main/java/org/apache/bookkeeper/stats/CodahaleMetricsProvider.java;1;1;2;Flavio Paiva Junqueira
7;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java;1;1;5;Sijie Guo
7;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java;6;6;5;Sijie Guo
7;bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ClientConfiguration.java;1;1;5;Sijie Guo
7;bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ServerConfiguration.java;17;17;5;Sijie Guo
7;bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookKeeperCloseTest.java;2;128;2;Sijie Guo
7;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/MultipleThreadReadTest.java;12;38;2;Ivan Brendan Kelly
7;bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/WriteEntryProcessorV3.java;0;1;2;Flavio Paiva Junqueira
7;bookkeeper-stats-providers/codahale-metrics-provider/src/main/java/org/apache/bookkeeper/stats/CodahaleMetricsProvider.java;16;0;2;Sijie Guo
7;bookkeeper-server/src/test/java/org/apache/bookkeeper/client/TestTryReadLastConfirmed.java;2;3;2;Sijie Guo
7;bookkeeper-server/src/test/java/org/apache/bookkeeper/client/LedgerCloseTest.java;1;0;2;Sijie Guo
7;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java;7;1;2;Sijie Guo
7;bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchThroughputLatency.java;1;1;2;Sijie Guo
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/BookieInitializationTest.java;3;3;9;Flavio Paiva Junqueira
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/CompactionTest.java;3;2;9;Flavio Paiva Junqueira
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/CookieTest.java;3;3;9;Flavio Paiva Junqueira
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/TestSyncThread.java;5;4;9;Flavio Paiva Junqueira
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/conf/TestBKConfiguration.java;1;0;9;Flavio Paiva Junqueira
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/replication/AuditorPeriodicBookieCheckTest.java;2;3;9;Flavio Paiva Junqueira
1;hedwig-server/src/test/java/org/apache/hedwig/server/TestBackwardCompat.java;2;0;9;Flavio Paiva Junqueira
1;hedwig-server/src/test/java/org/apache/hedwig/server/persistence/BookKeeperTestBase.java;1;0;9;Flavio Paiva Junqueira
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ServerConfiguration.java;2;2;3;Flavio Paiva Junqueira
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java;60;23;2;Ivan Brendan Kelly
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieShell.java;442;41;4;Ivan Brendan Kelly
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerUnderreplicationManager.java;10;0;4;Ivan Brendan Kelly
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/ZkLedgerUnderreplicationManager.java;56;1;4;Ivan Brendan Kelly
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/ZkLedgerUnderreplicationManager.java;10;0;8;Ivan Brendan Kelly
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/replication/Auditor.java;58;28;8;Ivan Brendan Kelly
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/replication/AuditorElector.java;29;1;8;Ivan Brendan Kelly
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/replication/AuditorLedgerCheckerTest.java;34;55;8;Ivan Brendan Kelly
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/replication/AuditorPeriodicBookieCheckTest.java;2;1;8;Ivan Brendan Kelly
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/replication/AuditorRollingRestartTest.java;73;0;8;Ivan Brendan Kelly
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/TestCallbacks.java;14;0;8;Ivan Brendan Kelly
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/replication/AuditorPeriodicBookieCheckTest.java;124;0;2;Ivan Brendan Kelly
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/TestCallbacks.java;43;0;2;Ivan Brendan Kelly
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/replication/Auditor.java;1;1;3;Ivan Brendan Kelly
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/replication/AuditorPeriodicCheckTest.java;7;7;3;Ivan Brendan Kelly
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java;7;0;9;Ivan Brendan Kelly
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/replication/Auditor.java;40;36;9;Ivan Brendan Kelly
1;bookkeeper-server/src/main/java/org/apache/bookkeeper/replication/AuditorElector.java;5;0;9;Ivan Brendan Kelly
