message;sha
[BUG] Fix flaky testLedgerOpenAfterBKCrashed--### Motivation----`BookieFailureTest#testLedgerOpenAfterBKCrashed` is a flaky test case, it cause some pr failed.----```--org.apache.bookkeeper.client.BKException$BKLedgerRecoveryException: Error while recovering ledger--  at org.apache.bookkeeper.client.SyncCallbackUtils.finish(SyncCallbackUtils.java:83)--  at org.apache.bookkeeper.client.SyncCallbackUtils$SyncOpenCallback.openComplete(SyncCallbackUtils.java:157)--  at org.apache.bookkeeper.client.LedgerOpenOp.openComplete(LedgerOpenOp.java:232)--  at org.apache.bookkeeper.client.LedgerOpenOp$1.safeOperationComplete(LedgerOpenOp.java:201)--  at org.apache.bookkeeper.client.LedgerOpenOp$1.safeOperationComplete(LedgerOpenOp.java:193)--  at org.apache.bookkeeper.util.OrderedGenericCallback.operationComplete(OrderedGenericCallback.java:62)--  at org.apache.bookkeeper.proto.BookkeeperInternalCallbacks$TimedGenericCallback.operationComplete(BookkeeperInternalCallbacks.java:189)--  at org.apache.bookkeeper.client.ReadOnlyLedgerHandle.lambda$recover$5(ReadOnlyLedgerHandle.java:295)--  at java.util.concurrent.CompletableFuture.uniWhenComplete(CompletableFuture.java:760)--  at java.util.concurrent.CompletableFuture$UniWhenComplete.tryFire(CompletableFuture.java:736)--  at java.util.concurrent.CompletableFuture.postComplete(CompletableFuture.java:474)--  at java.util.concurrent.CompletableFuture.completeExceptionally(CompletableFuture.java:1977)--  at org.apache.bookkeeper.client.LedgerRecoveryOp.submitCallback(LedgerRecoveryOp.java:136)--  at org.apache.bookkeeper.client.LedgerRecoveryOp.onEntryComplete(LedgerRecoveryOp.java:202)--  at org.apache.bookkeeper.client.ListenerBasedPendingReadOp.submitCallback(ListenerBasedPendingReadOp.java:67)--  at org.apache.bookkeeper.client.PendingReadOp$LedgerEntryRequest.fail(PendingReadOp.java:170)--  at org.apache.bookkeeper.client.PendingReadOp$SequenceReadRequest.sendNextRead(PendingReadOp.java:392)--  at org.apache.bookkeeper.client.PendingReadOp$SequenceReadRequest.logErrorAndReattemptRead(PendingReadOp.java:435)--  at org.apache.bookkeeper.client.PendingReadOp.readEntryComplete(PendingReadOp.java:581)--  at org.apache.bookkeeper.proto.BookieClientImpl$2.safeRun(BookieClientImpl.java:369)--  at org.apache.bookkeeper.common.util.SafeRunnable.run(SafeRunnable.java:36)--  at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1149)--  at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:624)--  at io.netty.util.concurrent.FastThreadLocalRunnable.run(FastThreadLocalRunnable.java:30)--  at java.lang.Thread.run(Thread.java:748)--```----![image](https://user-images.githubusercontent.com/20113411/82434983-3add3880-9ac6-11ea-96a3-24fbd71d16d4.png)----### Changes----Test case should cover following situation, which shutdown any one of bookies, and try to open ledger with no bookie recovery. --```--Bookies: 4--ensSize: 3--writeQuorumSize: 2--ackQuorumSize: 2--```------Reviewers: Enrico Olivelli <eolivelli@gmail.com>--This closes #2337 from lamber-ken/bk-fix-wrong-test;f15b9bd15766d87d04258387a1164260056e088b
[BUG] Fix wrong jdk version on install doc page--### Motivation----We have adopted `lamada expression` and `stream api` in code base, it needs jdk1.8 at least.----e.g org.apache.bookkeeper.meta.zk.ZKMetadataClientDriver--```--Override--public void setSessionStateListener(SessionStateListener sessionStateListener) {--    zk.register((event) -> {--        // Check for expired connection.--        if (event.getType().equals(EventType.None) && event.getState().equals(KeeperState.Expired)) {--            sessionStateListener.onSessionExpired();--        }--    });--}--```----![image](https://user-images.githubusercontent.com/20113411/82619119-a4b12b80-9c07-11ea-92e5-a1e3f5f9ff6b.png)----### Changes----Update `Java Development Kit 1.6` to `Java Development Kit 1.8`----Reviewers: Matteo Minardi <minardi.matteo@hotmail.it>--This closes #2343 from lamber-ken/clean-fix-install-doc;14ae5c8a03a10e55f778ee542afb5ed9a632eb23
[BOOKKEEPER-TOOL] Fix update rate-limiting for update-ledger command--### Motivation--Right now, `UpdateLedgerCmd` provides option `updatespersec` to throttle number of writes on zk. However, it throttles number of reads instead writes. Because of that it takes long time to complete this command as it slows down the read instead applying throttling while writing to zk.----### Modification--- Apply throttling while updating zk.--- If writes are being throttled then we also want to avoid accumulating reads so, added `maxOutstandingReads` option to manage max concurrent reads.----**Note:** We also need this change for #2321 .. so, I will rebase #2321 once this PR is merged.--Reviewers: Enrico Olivelli <eolivelli@gmail.com>--This closes #2336 from rdhabalia/update_rate;e9021a607d55ed1802c44fd503fbf7640ad3ae98
Handle NPE when inet address is not able to resolve network address------Descriptions of the changes in this PR:----*Motivation*----```--06:00:53.731 [BookKeeperClientScheduler-OrderedScheduler-0-0] ERROR org.apache.bookkeeper.client.TopologyAwareEnsemblePlacementPolicy - Unexpected exception while handling joining bookie pulsar-tls-bookie-0.pulsar-tls-bookie.pulsar.svc.cluster.local:3181--java.lang.NullPointerException: null--	at org.apache.bookkeeper.net.NetUtils.resolveNetworkLocation(NetUtils.java:77) ~[org.apache.bookkeeper-bookkeeper-server-4.10.0.jar:4.10.0]--```----*TEST*----The `getAddress` is final method. It is hard to mock.----The method has been covered by other tests.------Reviewers: Enrico Olivelli <eolivelli@gmail.com>--This closes #2301 from sijie/fix_network_utils;993148e5b292a5b5fcaf64c95231e84fd1697831
Add /api/v1/bookie/info REST API--Descriptions of the changes in this PR:----This adds an additional HTTP REST endpoint to expose the bookie's info (only storage numbers for now).----### Motivation----I was looking for an HTTP endpoint that returned the info of only the current bookie, but couldn't find one. The only similar API I've found was `/api/v1/bookie/list_bookie_info`, however it connects to all bookies and may take a long time to respond (plus its response format is difficult to parse).----### Changes----I've added a new API at `/api/v1/bookie/info` that returns a response like:--```json--{--  "freeSpace" : 0,--  "totalSpace" : 0--}--```----Reviewers: Matteo Minardi <minardi.matteo@hotmail.it>, Enrico Olivelli <eolivelli@gmail.com>, Jia Zhai <zhaijia@apache.org>--This closes #2322 from fretiq/add-bookie-info-api;a8eb2d64ef040983493e65ed2c55e3255e3ee3b4
Issue #2305: Bookies should not be allowed to come up without a cookie in metadata store.--### Motivation--Currently we allow bookies to come up even if they don't have a cookie in the metadata store.--The cookie is an identity of a registered bookie and a bookie should not be allowed to come up without it.----### Changes--Update handling of bookie boot up. Add test.--This scenario is rarely expected but can happen in case of corruption or errant deletion of znodes for cookies----Reviewers: Matteo Minardi <minardi.matteo@hotmail.it>, Enrico Olivelli <eolivelli@gmail.com>, Sijie Guo <None>--This closes #2306 from Ghatage/disableBootup-Wo-Cookie, closes #2305;a7ca7cff615391d1267f3546735e18b3306eb1e4
QuorumCoverage should only count unknown nodes--The original patch was contributed by ivankelly in PR #2303, I have only fixed checkstyle and removed two tests that were wrong.----Quorum coverage checks if we have heard from enough nodes to know that--there is no entry that can have been written to enough nodes that we--haven't heard from to have formed an ack quorum.----The coverage algorithm was correct pre-5e399df.----5e399df(BOOKKEEPER-759: Delay Ensemble Change & Disable Ensemble--Change) broke this, but it still seems to have worked because they had--a broken else statement at the end. Why a change which is 100% about--the write-path changed something in the read-path is a mystery.----dcdd1e(Small fix wrong nodesUninitialized count when checkCovered)--went on to fix the broken fix, so the whole thing ended up broke.----The change also modifies ReadLastConfirmedOp to make it testable.--Reviewers: Sijie Guo <None>, Rajan Dhabalia <rdhabalia@apache.org>--This closes #2333 from eolivelli/pr2303;f373cb5976ebca41ae036a26ba69f1c341897c08
Fix wrong module artifactId--### Motivation----Fix wrong maven artifactId, there are three module use the same artifactId.----### Changes----![image](https://user-images.githubusercontent.com/20113411/81897790-e4fe2180-95e9-11ea-9449-92941fe4c1bc.png)------Reviewers: Matteo Minardi <minardi.matteo@hotmail.it>, Enrico Olivelli <eolivelli@gmail.com>--This closes #2329 from lamber-ken/bk-fix-wrong-artifactId;fca0a071c3be99326b9075c24ff17ce76faf7bda
[BOOKIE-MTLS] add support of hostname verification--### Motivation----Right now, bookkeeper-client is not able to perform [hostname-verification](https://tersesystems.com/blog/2014/03/23/fixing-hostname-verification/) when it connects to broker over tls. Hostname-verification feature is already implemented in almost all [http-client](https://github.com/apache/httpcomponents-client/blob/master/httpclient5/src/main/java/org/apache/hc/client5/http/ssl/DefaultHostnameVerifier.java) but it's not supported by [netty](https://stackoverflow.com/questions/13315623/netty-ssl-hostname-verification-support) yet. therefore, client should be able to perform hostname-verification as per [RFC-2181](https://tools.ietf.org/html/rfc2818#section-3.1)----### Modifications----- added client configuration to enable hostname-verification (default disable)--- use [http-client](https://github.com/apache/httpcomponents-client/blob/master/httpclient5/src/main/java/org/apache/hc/client5/http/ssl/DefaultHostnameVerifier.java) but it's not supported by [netty](https://stackoverflow.com/questions/13315623/netty-ssl-hostname-verification-support) to perform hostname-validation rather adding custom logic.--- add httpclient-apache dependency into LICENSE and NOTICE files.----### Result----Bookkeeper client will be able to perform hostname verification while creating ssl session with bookie.--Reviewers: Enrico Olivelli <eolivelli@gmail.com>--This closes #2156 from rdhabalia/hostname;adf086d54f85fa5321574300360f7fd86d47fe8b
Bump jackson.version from 2.9.7 to 2.11.0 (#2326);27c32fc3eb54e9fe8ec1155f97f2f0079f5f716a
