Dataset,#TrainingRelease,%training,%Defective in Training,%Defective in Testing,Classifier,Balancing,Feature Selection,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
bookkeeper,1,0.5,0.019348749410099102,0.014157621519584709,IBk,No Sampling,No Feature Selection,15.0,21.0,2068.0,15.0,0.4166666666666667,0.5,0.7438966012446147,0.44598893197960754
bookkeeper,1,0.5,0.019348749410099102,0.014157621519584709,NaiveBayes,No Sampling,No Feature Selection,17.0,35.0,2054.0,13.0,0.3269230769230769,0.5666666666666667,0.9224908249561193,0.40393112905683515
bookkeeper,1,0.5,0.019348749410099102,0.014157621519584709,RandomForest,No Sampling,No Feature Selection,15.0,17.0,2072.0,15.0,0.46875,0.5,0.9483165789053773,0.476216224567043
bookkeeper,1,0.5,0.019348749410099102,0.014157621519584709,IBk,No Sampling,Feature Selection,10.0,20.0,2069.0,20.0,0.3333333333333333,0.3333333333333333,0.45158768150630285,0.3237593745013559
bookkeeper,1,0.5,0.019348749410099102,0.014157621519584709,NaiveBayes,No Sampling,Feature Selection,12.0,18.0,2071.0,18.0,0.4,0.4,0.8583373224828467,0.39138343705122114
bookkeeper,1,0.5,0.019348749410099102,0.014157621519584709,RandomForest,No Sampling,Feature Selection,9.0,12.0,2077.0,21.0,0.42857142857142855,0.3,0.8739269187809159,0.3453079796646374
bookkeeper,1,0.0372557928214448,0.5,0.014157621519584709,IBk,UnderSampling,No Feature Selection,24.0,44.0,2045.0,6.0,0.35294117647058826,0.8,0.858895803414712,0.4795708854417392
bookkeeper,1,0.0372557928214448,0.5,0.014157621519584709,NaiveBayes,UnderSampling,No Feature Selection,23.0,47.0,2042.0,7.0,0.32857142857142857,0.7666666666666667,0.9227860220201053,0.4490804044294663
bookkeeper,1,0.0372557928214448,0.5,0.014157621519584709,RandomForest,UnderSampling,No Feature Selection,24.0,46.0,2043.0,6.0,0.34285714285714286,0.8,0.9240625498643689,0.46948483389504186
bookkeeper,1,0.0372557928214448,0.5,0.014157621519584709,IBk,UnderSampling,Feature Selection,21.0,46.0,2043.0,9.0,0.31343283582089554,0.7,0.8063906175203447,0.4216789150618042
bookkeeper,1,0.0372557928214448,0.5,0.014157621519584709,NaiveBayes,UnderSampling,Feature Selection,15.0,22.0,2067.0,15.0,0.40540540540540543,0.5,0.8261049944151907,0.4389887873605583
bookkeeper,1,0.0372557928214448,0.5,0.014157621519584709,RandomForest,UnderSampling,Feature Selection,22.0,46.0,2043.0,8.0,0.3235294117647059,0.7333333333333333,0.8718525610339876,0.4379365562770778
bookkeeper,1,0.6623107569721115,0.5,0.014157621519584709,IBk,SMOTE,No Feature Selection,15.0,21.0,2068.0,15.0,0.4166666666666667,0.5,0.7438966012446147,0.44598893197960754
bookkeeper,1,0.6623107569721115,0.5,0.014157621519584709,NaiveBayes,SMOTE,No Feature Selection,18.0,38.0,2051.0,12.0,0.32142857142857145,0.6,0.9224429551619595,0.4076836208727937
bookkeeper,1,0.6623107569721115,0.5,0.014157621519584709,RandomForest,SMOTE,No Feature Selection,15.0,22.0,2067.0,15.0,0.40540540540540543,0.5,0.9399872347215573,0.4389887873605583
bookkeeper,1,0.6623107569721115,0.5,0.014157621519584709,IBk,SMOTE,Feature Selection,12.0,21.0,2068.0,18.0,0.36363636363636365,0.4,0.5171852561033987,0.3716325646114178
bookkeeper,1,0.6623107569721115,0.5,0.014157621519584709,NaiveBayes,SMOTE,Feature Selection,12.0,18.0,2071.0,18.0,0.4,0.4,0.8745093346098611,0.39138343705122114
bookkeeper,1,0.6623107569721115,0.5,0.014157621519584709,RandomForest,SMOTE,Feature Selection,14.0,18.0,2071.0,16.0,0.4375,0.4666666666666667,0.8741024413595021,0.4434797386024827
bookkeeper,1,0.6623107569721115,0.5,0.014157621519584709,IBk,OverSampling,No Feature Selection,17.0,21.0,2068.0,13.0,0.4473684210526316,0.5666666666666667,0.766546992181267,0.4919611880517884
