Dataset;#TrainingRelease;#AttributeNoFilter;#AttributeFiltered;Classifier;Precision;Recall;AUC;Kappa
bookkeeper;1;13;5;IBk;0.3333333333333333;0.3333333333333333;0.45158768150630285;0.3237593745013559
bookkeeper;1;13;5;NaiveBayes;0.4;0.4;0.8583373224828467;0.39138343705122114
bookkeeper;1;13;5;RandomForest;0.42857142857142855;0.3;0.8739269187809159;0.3453079796646374
bookkeeper;2;13;5;IBk;0.0;0.0;0.5;0.0
bookkeeper;2;13;5;NaiveBayes;0.0;0.0;0.5;0.0
bookkeeper;2;13;5;RandomForest;0.0;0.0;0.5;0.0
bookkeeper;3;13;5;IBk;0.3125;0.2777777777777778;0.4494817282775398;0.28842871134741677
bookkeeper;3;13;5;NaiveBayes;0.2608695652173913;0.3333333333333333;0.8502432704003384;0.28587697993050876
bookkeeper;3;13;5;RandomForest;0.2631578947368421;0.2777777777777778;0.8255856999312496;0.2638479651050572
bookkeeper;4;13;8;IBk;0.0;0.0;0.5;0.0
bookkeeper;4;13;8;NaiveBayes;0.0;0.0;0.5;0.0
bookkeeper;4;13;8;RandomForest;0.0;0.0;0.5;0.0
bookkeeper;5;13;4;IBk;0.0;0.0;0.5;0.0
bookkeeper;5;13;4;NaiveBayes;0.0;0.0;0.5;0.0
bookkeeper;5;13;4;RandomForest;0.0;0.0;0.5;0.0
bookkeeper;6;13;4;IBk;0.04054054054054054;0.3;0.5882645803698435;0.06364295587935408
bookkeeper;6;13;4;NaiveBayes;0.046511627906976744;0.4;0.6801327643432906;0.07551659858009939
bookkeeper;6;13;4;RandomForest;0.06666666666666667;0.1;0.6805832147937411;0.0747603227337423
