TicketID;AV;FV;OV
TAJO-2189;10*7;10;9
TAJO-2188;10;10;9
TAJO-2184;none;10;8
TAJO-2177;8;10;8
TAJO-2168;10*8;10;8
TAJO-2164;none;10;8
TAJO-2163;none;10;8
TAJO-2162;8;;8
TAJO-2158;8;10;7
TAJO-2151;none;10;7
TAJO-2150;none;10;7
TAJO-2143;4;10*8;7
TAJO-2140;9;10*8;7
TAJO-2135;9;10*8;7
TAJO-2119;none;10*8;7
TAJO-2110;9*10;10*8;6
TAJO-2107;6;10*7;6
TAJO-2102;none;10*7;6
TAJO-2100;9;10*7;6
TAJO-2095;none;10*7;6
TAJO-2093;10*6;7;6
TAJO-2092;6;10*7;6
TAJO-2082;9*6;10*7;6
TAJO-2081;9*6;10*7;6
TAJO-2080;none;10*7;6
TAJO-2078;10;none;6
TAJO-2077;4*9;10*7;6
TAJO-2072;6;10*6;5
TAJO-2066;10*6;10*6;5
TAJO-2062;10;10;5
TAJO-2038;9;10*6;5
TAJO-2037;10*6;10*6;5
TAJO-2034;none;10*6;5
TAJO-2025;9;10*6;5
TAJO-2016;9;10*6;5
TAJO-2014;9;10*6;5
TAJO-2013;9;10*6;5
TAJO-2010;9;10*6;5
TAJO-2001;6;10*6;5
TAJO-2000;2;10*6;5
TAJO-1981;none;10*6;5
TAJO-1980;none;10*6;5
TAJO-1978;none;10*6;5
TAJO-1977;none;10*6;5
TAJO-1972;none;10*6;5
TAJO-1965;9;10*6;5
TAJO-1964;9;10*6;5
TAJO-1961;none;10*6;5
TAJO-1954;4;10*6;5
TAJO-1935;5;10*6;5
TAJO-1933;none;9;5
TAJO-1928;9;9*10;5
TAJO-1926;9;9;5
TAJO-1924;9*10;9*10;5
TAJO-1923;none;9;5
TAJO-1921;none;10*6;5
TAJO-1918;5;9;5
TAJO-1917;9;9;5
TAJO-1916;none;10;5
TAJO-1913;none;9*10;5
TAJO-1912;none;9;5
TAJO-1903;5;9*10;5
TAJO-1902;9*10;9*10;5
TAJO-1901;9*10;9*10;5
TAJO-1900;none;9;5
TAJO-1896;10;10;5
TAJO-1895;none;10;5
TAJO-1894;none;9;5
TAJO-1889;none;9;5
TAJO-1886;none;10;5
TAJO-1884;9;9*10;5
TAJO-1875;none;9;5
TAJO-1873;none;9*10;5
TAJO-1871;none;9;5
TAJO-1869;3*4*5;9*10;5
TAJO-1862;none;10;5
TAJO-1861;none;9;5
TAJO-1851;9*10;9*10;5
TAJO-1848;none;9;5
TAJO-1846;none;9;5
TAJO-1835;none;9;5
TAJO-1830;4;9*10;5
TAJO-1829;9*10;9*10;5
TAJO-1827;none;9*10;5
TAJO-1823;none;9;5
TAJO-1822;none;9;5
TAJO-1821;none;9;5
TAJO-1820;none;9;5
TAJO-1819;none;9;5
TAJO-1815;5;9;5
TAJO-1811;none;9;5
TAJO-1808;none;9;5
TAJO-1802;none;9;5
TAJO-1801;none;9;5
TAJO-1800;none;9;5
TAJO-1799;9;9*10;5
TAJO-1798;none;9*10;5
TAJO-1796;5;9;5
TAJO-1793;9;10*7;5
TAJO-1790;none;9*10;5
TAJO-1783;9;9;5
TAJO-1782;9;9;5
TAJO-1781;9;9;5
TAJO-1779;9;9*10;5
TAJO-1777;4*5;9*10;5
TAJO-1776;4*9*5;9*10;5
TAJO-1763;none;9*10;5
TAJO-1753;9;10*6;5
TAJO-1752;none;9;5
TAJO-1742;none;9;5
TAJO-1741;5;9*10;5
TAJO-1733;none;9;5
TAJO-1732;none;9;5
TAJO-1731;none;9;5
TAJO-1727;none;9*10;5
TAJO-1725;none;9;5
TAJO-1716;none;9;5
TAJO-1712;none;9;5
TAJO-1707;none;9*10;5
TAJO-1702;none;9;5
TAJO-1697;4*5;9;5
TAJO-1689;none;9;5
TAJO-1681;none;9;5
TAJO-1674;none;9;5
TAJO-1657;none;none;4
TAJO-1650;9;9;4
TAJO-1644;none;9;4
TAJO-1643;none;10*6;4
TAJO-1642;none;9;4
TAJO-1634;none;9;4
TAJO-1630;none;9;4
TAJO-1622;4;9;4
TAJO-1621;none;9*5;4
TAJO-1620;4;9;4
TAJO-1619;4;5;4
TAJO-1612;none;5;4
TAJO-1610;none;9;4
TAJO-1608;none;;4
TAJO-1605;none;9*5;4
TAJO-1600;none;9;4
TAJO-1598;none;9*5;4
TAJO-1597;none;9;4
TAJO-1596;none;9;4
TAJO-1594;none;;4
TAJO-1593;9;9;4
TAJO-1586;4;9*5;4
TAJO-1581;none;9*5;4
TAJO-1580;4;9*5;4
TAJO-1578;none;10*6;4
TAJO-1574;none;9*5;4
TAJO-1572;none;none;4
TAJO-1569;3*4;9;4
TAJO-1564;3*4;9*5;4
TAJO-1561;none;none;4
TAJO-1560;4;9*5;4
TAJO-1558;none;9;4
TAJO-1556;none;9*5;4
TAJO-1552;none;none;4
TAJO-1541;9;9;4
TAJO-1540;none;9;4
TAJO-1538;3*4;9*5;4
TAJO-1536;none;9;4
TAJO-1534;4;9*5;4
TAJO-1522;4;9*5;4
TAJO-1516;none;5;4
TAJO-1512;4;9*5;4
TAJO-1510;none;9;4
TAJO-1500;none;none;4
TAJO-1497;3*4;9;4
TAJO-1491;none;none;4
TAJO-1481;none;9*5;4
TAJO-1479;none;9;4
TAJO-1469;none;9;4
