Version;Filename;LOC_Added;LOC_deleted;Set_size;Author
5;tajo-client/src/main/java/org/apache/tajo/client/SessionConnection.java;14;0;3;Jihoon Son
5;tajo-jdbc/src/main/java/org/apache/tajo/jdbc/JdbcConnection.java;3;1;3;Jihoon Son
5;tajo-common/src/main/java/org/apache/tajo/SessionVars.java;1;1;4;DaeMyung Kang
5;tajo-core/src/test/java/org/apache/tajo/cli/tsql/TestTajoCli.java;40;0;4;DaeMyung Kang
4;tajo-core/src/main/java/org/apache/tajo/worker/ExecutionBlockContext.java;14;14;6;jhkim
4;tajo-core/src/main/java/org/apache/tajo/worker/Task.java;30;17;6;jhkim
4;tajo-core/src/main/java/org/apache/tajo/worker/TaskAttemptContext.java;1;1;6;jhkim
4;tajo-core/src/main/java/org/apache/tajo/worker/TaskRunnerManager.java;3;1;6;jhkim
4;tajo-core/src/test/java/org/apache/tajo/querymaster/TestKillQuery.java;34;0;6;jhkim
4;tajo-storage/tajo-storage-common/src/main/java/org/apache/tajo/storage/StorageManager.java;21;19;3;jhkim
4;tajo-storage/tajo-storage-hdfs/src/test/java/org/apache/tajo/storage/TestFileStorageManager.java;46;14;3;jhkim
4;tajo-core/src/main/java/org/apache/tajo/master/QueryInProgress.java;1;1;6;Jihoon Son
4;tajo-core/src/main/java/org/apache/tajo/master/QueryManager.java;0;4;6;Jihoon Son
4;tajo-core/src/main/java/org/apache/tajo/master/TajoMasterClientService.java;2;6;6;Jihoon Son
4;tajo-core/src/main/java/org/apache/tajo/querymaster/QueryMaster.java;0;1;6;Jihoon Son
4;tajo-common/src/main/java/org/apache/tajo/conf/TajoConf.java;1;1;5;JaeHwa Jung
4;tajo-core/src/test/java/org/apache/tajo/engine/query/TestHBaseTable.java;6;129;5;JaeHwa Jung
4;tajo-storage/tajo-storage-hbase/src/main/java/org/apache/tajo/storage/hbase/HBaseStorageManager.java;5;8;5;JaeHwa Jung
4;tajo-core/src/main/java/org/apache/tajo/worker/TajoWorker.java;7;0;4;jhkim
4;tajo-core/src/test/java/org/apache/tajo/TajoTestingCluster.java;10;14;4;jhkim
4;tajo-storage/tajo-storage-common/src/main/java/org/apache/tajo/storage/StorageManager.java;2;1;4;jhkim
4;tajo-catalog/tajo-catalog-common/src/main/java/org/apache/tajo/catalog/CatalogConstants.java;2;0;3;Jihun Kang
4;tajo-client/src/main/java/org/apache/tajo/cli/tools/TajoDump.java;15;1;3;Jihun Kang
4;tajo-core/src/main/java/org/apache/tajo/master/QueryInProgress.java;1;0;8;jhkim
4;tajo-core/src/main/java/org/apache/tajo/querymaster/Stage.java;2;0;8;jhkim
4;tajo-core/src/main/java/org/apache/tajo/querymaster/Task.java;4;1;8;jhkim
4;tajo-core/src/main/java/org/apache/tajo/worker/TajoWorkerClientService.java;2;2;8;jhkim
4;tajo-core/src/test/java/org/apache/tajo/TajoTestingCluster.java;19;9;8;jhkim
4;tajo-core/src/test/java/org/apache/tajo/master/scheduler/TestFifoScheduler.java;4;4;8;jhkim
4;tajo-core/src/test/java/org/apache/tajo/querymaster/TestKillQuery.java;57;3;8;jhkim
4;tajo-client/src/main/java/org/apache/tajo/client/QueryClientImpl.java;6;3;5;jhkim
4;tajo-core/src/main/java/org/apache/tajo/master/QueryInProgress.java;1;0;5;jhkim
4;tajo-core/src/main/java/org/apache/tajo/master/QueryManager.java;2;1;5;jhkim
4;tajo-core/src/main/java/org/apache/tajo/master/TajoMasterClientService.java;3;1;5;jhkim
4;tajo-catalog/tajo-catalog-server/src/test/java/org/apache/tajo/catalog/TestCatalog.java;52;1;16;Jihun Kang
4;tajo-catalog/tajo-catalog-common/src/main/java/org/apache/tajo/catalog/CatalogUtil.java;1;11;16;jhkim
4;tajo-catalog/tajo-catalog-server/src/main/java/org/apache/tajo/catalog/store/AbstractDBStore.java;4;2;16;jhkim
4;tajo-catalog/tajo-catalog-server/src/main/java/org/apache/tajo/catalog/store/MemStore.java;1;1;16;jhkim
4;tajo-client/src/main/java/org/apache/tajo/cli/tsql/commands/DescTableCommand.java;2;1;16;jhkim
4;tajo-core/src/test/java/org/apache/tajo/engine/query/TestCTASQuery.java;15;2;16;jhkim
4;tajo-storage/tajo-storage-common/src/main/java/org/apache/tajo/storage/StorageManager.java;6;10;16;jhkim
4;tajo-storage/tajo-storage-hbase/src/main/java/org/apache/tajo/storage/hbase/HBaseFragment.java;2;1;16;jhkim
4;tajo-storage/tajo-storage-hdfs/src/main/java/org/apache/tajo/storage/CSVFile.java;1;1;16;jhkim
4;tajo-storage/tajo-storage-hdfs/src/main/java/org/apache/tajo/storage/fragment/FileFragment.java;2;1;16;jhkim
4;tajo-storage/tajo-storage-hdfs/src/main/java/org/apache/tajo/storage/text/DelimitedTextFile.java;1;1;16;jhkim
4;tajo-common/src/main/java/org/apache/tajo/rule/base/CheckHadoopRuntimeVersionRule.java;2;2;2;Jihun Kang
4;tajo-common/src/main/java/org/apache/tajo/unit/StorageUnit.java;5;4;2;Jihun Kang
4;tajo-common/src/main/java/org/apache/tajo/conf/TajoConf.java;2;0;12;jhkim
4;tajo-common/src/main/java/org/apache/tajo/util/Bytes.java;3;3;12;jhkim
4;tajo-core/src/main/java/org/apache/tajo/master/QueryInProgress.java;5;1;12;jhkim
4;tajo-core/src/main/java/org/apache/tajo/master/QueryInfo.java;6;1;12;jhkim
4;tajo-core/src/main/java/org/apache/tajo/master/QueryManager.java;21;4;12;jhkim
4;tajo-core/src/main/java/org/apache/tajo/querymaster/QueryMaster.java;6;2;12;jhkim
4;tajo-core/src/main/java/org/apache/tajo/util/history/HistoryReader.java;19;14;12;jhkim
4;tajo-core/src/main/java/org/apache/tajo/util/history/HistoryWriter.java;262;99;12;jhkim
4;tajo-core/src/main/java/org/apache/tajo/worker/TaskRunnerManager.java;1;0;12;jhkim
4;tajo-core/src/test/java/org/apache/tajo/client/TestTajoClient.java;3;13;12;jhkim
4;tajo-core/src/test/java/org/apache/tajo/util/history/TestHistoryWriterReader.java;4;15;12;jhkim
4;tajo-core/src/test/java/org/apache/tajo/engine/planner/TestLogicalPlanner.java;4;1;12;Keuntae Park
4;tajo-core/src/test/java/org/apache/tajo/engine/query/TestJoinQuery.java;28;0;12;Keuntae Park
4;tajo-plan/src/main/java/org/apache/tajo/plan/rewrite/rules/FilterPushDownRule.java;16;0;12;Keuntae Park
4;tajo-catalog/tajo-catalog-common/src/main/java/org/apache/tajo/catalog/CatalogService.java;2;2;31;Hyunsik Choi
4;tajo-catalog/tajo-catalog-drivers/tajo-hcatalog/src/main/java/org/apache/tajo/catalog/store/HCatalogStore.java;1;1;31;Hyunsik Choi
4;tajo-catalog/tajo-catalog-drivers/tajo-hcatalog/src/main/java/org/apache/tajo/catalog/store/HCatalogUtil.java;1;1;31;Hyunsik Choi
4;tajo-catalog/tajo-catalog-server/src/main/java/org/apache/tajo/catalog/store/AbstractDBStore.java;5;5;31;Hyunsik Choi
4;tajo-catalog/tajo-catalog-server/src/main/java/org/apache/tajo/catalog/store/XMLCatalogSchemaManager.java;9;9;31;Hyunsik Choi
4;tajo-catalog/tajo-catalog-server/src/test/java/org/apache/tajo/catalog/store/TestXMLCatalogSchemaManager.java;7;7;31;Hyunsik Choi
4;tajo-client/src/main/java/org/apache/tajo/cli/tsql/DefaultTajoCliOutputFormatter.java;1;1;31;Hyunsik Choi
4;tajo-client/src/main/java/org/apache/tajo/cli/tsql/TajoCli.java;2;2;31;Hyunsik Choi
4;tajo-client/src/main/java/org/apache/tajo/cli/tsql/TajoCliOutputFormatter.java;1;1;31;Hyunsik Choi
4;tajo-common/src/main/java/org/apache/tajo/util/datetime/DateTimeFormat.java;1;1;31;Hyunsik Choi
4;tajo-core/src/main/java/org/apache/tajo/master/querymaster/Repartitioner.java;8;8;31;Hyunsik Choi
4;tajo-plan/src/main/java/org/apache/tajo/plan/LogicalPlanPreprocessor.java;1;1;31;Hyunsik Choi
4;tajo-plan/src/main/java/org/apache/tajo/plan/rewrite/rules/FilterPushDownRule.java;3;3;31;Hyunsik Choi
