Version;Filename;LOC_touched;LOC_added;MAXLOC_added;AVGLOC_added;churn;MAX_churn;AVG_churn;Change_setsize;MAXChange_setsize;AVGChange_setsize;Buggy
1;tajo-cluster-tests/src/test/java/org/apache/tajo/BackendTestingUtil.java;0;0;0;0;0;0;0;0;0;0;no
2;tajo-cluster-tests/src/test/java/org/apache/tajo/BackendTestingUtil.java;0;0;0;0;0;0;0;0;0;0;no
3;tajo-cluster-tests/src/test/java/org/apache/tajo/BackendTestingUtil.java;0;0;0;0;0;0;0;0;0;0;no
4;tajo-cluster-tests/src/test/java/org/apache/tajo/BackendTestingUtil.java;0;0;0;0;0;0;0;0;0;0;no
5;tajo-cluster-tests/src/test/java/org/apache/tajo/BackendTestingUtil.java;0;0;0;0;0;0;0;0;0;0;no
1;tajo-cluster-tests/src/test/java/org/apache/tajo/CatalogTestingUtil.java;0;0;0;0;0;0;0;0;0;0;no
2;tajo-cluster-tests/src/test/java/org/apache/tajo/CatalogTestingUtil.java;0;0;0;0;0;0;0;0;0;0;no
3;tajo-cluster-tests/src/test/java/org/apache/tajo/CatalogTestingUtil.java;0;0;0;0;0;0;0;0;0;0;no
4;tajo-cluster-tests/src/test/java/org/apache/tajo/CatalogTestingUtil.java;0;0;0;0;0;0;0;0;0;0;no
5;tajo-cluster-tests/src/test/java/org/apache/tajo/CatalogTestingUtil.java;0;0;0;0;0;0;0;0;0;0;no
1;tajo-cluster-tests/src/test/java/org/apache/tajo/HBaseTestClusterUtil.java;0;0;0;0;0;0;0;0;0;0;no
2;tajo-cluster-tests/src/test/java/org/apache/tajo/HBaseTestClusterUtil.java;0;0;0;0;0;0;0;0;0;0;no
3;tajo-cluster-tests/src/test/java/org/apache/tajo/HBaseTestClusterUtil.java;0;0;0;0;0;0;0;0;0;0;no
4;tajo-cluster-tests/src/test/java/org/apache/tajo/HBaseTestClusterUtil.java;0;0;0;0;0;0;0;0;0;0;no
5;tajo-cluster-tests/src/test/java/org/apache/tajo/HBaseTestClusterUtil.java;0;0;0;0;0;0;0;0;0;0;no
1;tajo-cluster-tests/src/test/java/org/apache/tajo/IntegrationTest.java;0;0;0;0;0;0;0;0;0;0;no
2;tajo-cluster-tests/src/test/java/org/apache/tajo/IntegrationTest.java;0;0;0;0;0;0;0;0;0;0;no
3;tajo-cluster-tests/src/test/java/org/apache/tajo/IntegrationTest.java;0;0;0;0;0;0;0;0;0;0;no
4;tajo-cluster-tests/src/test/java/org/apache/tajo/IntegrationTest.java;0;0;0;0;0;0;0;0;0;0;no
