message;sha
Use HTTPS instead of HTTP to resolve dependencies (#1067)--This fixes a security vulnerability in this project where the `pom.xml`--files were configuring Maven to resolve dependencies over HTTP instead of--HTTPS.----Signed-off-by: Jonathan Leitschuh <Jonathan.Leitschuh@gmail.com>;b68fc2e4de90dfe4d9cff3cebafe07deab6ef2de
Change the git repo to the Aapche Tajo Github (#1066)--* Change the git repo to the Aapche Tajo Github--* Change the remaining old links----Signed-off-by: Hyunsik Choi <hyunsik@apache.org>;c0361b92bb123124580d2fb4cf29be6940a76beb
TAJO-2189: Dictionary encoded text in ORC scanner may cause incorrect result. (#1055);fb326195083959014c82c10187cb46de91ece33f
Merge pull request #1053 from hyunsik/TAJO-2187--TAJO-2187: Update KEY file and signatures of release artifacts;f07f0277ab627aa41b69dfb1c344dbd65a7fa3e5
TAJO-2188: Can't start tajo daemon on HDP,CDH--Closes #1054;8b644e62feddd453d752355303d7dc8a698c1c2b
TAJO-2187: Update KEY file and signatures of release artifacts--This patch updates the signatures of download page.;2dc0bb94d72cf0b95167f2e941aa044b5be985f8
missed CHANGES modification;4f3c386eba4fc9ade3850805246e043dde85cbab
[TAJO-2159] Function document should be modified as removing INET4 type--Close #1050;c405312447b7752b49dd4b0cf46c8ae63565c61e
Add missing changes in CHANGES--Closes #1052;d09fe51d9099f8a43a3a5c52d18eb40570f566f4
TAJO-2184: Can not run Tajo with non-default $TAJO_CONF_DIR--Update start-tajo.sh: add '--config' parameter when running tajo-daemon.sh--Close #2184-Signed-off-by: Hyunsik Choi <hyunsik@apache.org>;505c258e85243e15251a45f0766a4f85b5976252
[TAJO-2185] Eliminate protoc binary dependency--Close #1052;a14d1e7ef8127dc73b1513d4021c95e313456a64
TAJO-2069: Implement finding the total size of all objects in a bucket with AWS SDK.--Closes #1024;4f35c28e8e0281beed0a457244fbb9144e791fee
TAJO-2179: Add a regular expression scanner and appender.--Closes #1046;0ef485ba73281abbd8d208c4bb1c890f4e524d1d
TAJO-2180: Disable unsetting timezone property in HiveCatalogStore.--Closes #1048--Signed-off-by: Jinho Kim <jhkim@apache.org>;d3ab63bed6fc8ffe9c6a81141a4f019909892380
TAJO-1488: Implement KafkaTablespace.--Closes #1044--Signed-off-by: Jinho Kim <jhkim@apache.org>;fc147cf06e4128b60c54b4937a33a5ee96684c51
TAJO-1487: Kafka Scanner for kafka strage.--Closes #1043--Signed-off-by: Jinho Kim <jhkim@apache.org>;4e2d21c2e9de69430293c7a46bb71f1070accce8
TAJO-2174: Implement HiveCatalogStore#alterTable.--Closes #1047--Signed-off-by: Jinho Kim <jhkim@apache.org>;ff4673c5b3d2437eaea419a46d6afacd99a53320
TAJO-2170: Disable unsetting timezone property.--Closes #1045--Signed-off-by: Jinho Kim <jhkim@apache.org>;1858c968c6376ea312fcd6459a080e29a9f1641a
TAJO-1480: Kafka Consumer for kafka strage.--Closes #1041--Signed-off-by: Jinho Kim <jhkim@apache.org>;d5ffbe645c1fe47e24b3ffe2687cecdfc1ada1b4
TAJO-2166: Disallow csv file format in DDL Languages.--Closes #1037--Signed-off-by: Jihoon Son <jihoonson@apache.org>;fdd2ca2081a18950b831ce7db956d49b4af71917
TAJO-2177: In BroadcastJoinRule, the total volume of broadcast tables should be checked before stages are merged.--Closes #1040;6a52ba93726ed24c7a3cbc67486e2db5d74b5666
TAJO-2176: Refining function documents.;354ff85d2b5d065fd899940a792f0fcb6e99695c
TAJO-2175: Fix some glitches in source code.--Closes #1039--Signed-off-by: Jihoon Son <jihoonson@apache.org>;ea777aabee64552b08178204709b033c54a4e4a5
TAJO-2165: Add 'ALTER TABLE UNSET PROPERTY' statement to Tajo DDL.--Closes #1036--Signed-off-by: Jihoon Son <jihoonson@apache.org>;fab36f97eff330ec2f655536bb00d2ca2cc557e9
TAJO-2160: Implement string_agg function.--Closes #1029--Signed-off-by: Jinho Kim <jhkim@apache.org>;9cf9f7516c41e9724c425c309c800c065a4d9002
TAJO-2168: NullPointerException occurs when a simple query contains a python udf.--Closes #1035;78bde551772b8d7a7ce459e2cae2d1f73c4fa65b
TAJO-2148: Implement an example HTTP tablespace.--Closes #1034;4d2bd647ff7ee2450e0b9ed920f8179d32178186
TAJO-2164: SequenceFile print wrong values with TextSerializerDeserializer.--Closes #1033;8dbb8ca22520a0fd350ada2dd8a0c75294e0bc59
TAJO-2156: Create GeoIP functions taking various types instead of INET4 type.;740720a2f5d170a0aacf867e1bb9d7242c54043b
TAJO-2163: No error message is showed when query execution failed.--Signed-off-by: Jihoon Son <jihoonson@apache.org>;83e8e343a6106b71ef3b4161145a58d286c71df1
TAJO-2154: Refactor Datum to use new Type implementation.--Closes #1017;132124955d9af4a98ffb9893563be6f212a0c33a
TAJO-2027: Writing Hive UDF integration document. (add missed changelog);d819beee4a3f56c6da99dde5db72a4a5791a4cac
TAJO-2027: Writing Hive UDF integration document.--Signed-off-by: Hyunsik Choi <hyunsik@apache.org>;d8e9ef3fe4cf46a847ca31ddba823d1ea23d63ed
Update the site for release 0.11.3 (missing changes);c0b15f2ab859f9ab9cb4ec286b16318c2bb7c3c1
Update the site for release 0.11.3 (missing changes);fe57d32ae03451ec3d7aadbb3f9d5b775b6c1282
Fixed incorrect documentation links.;44152316acfa78951b355866400e85911f2d5e35
Update the site for release 0.11.3.;f97a5504bae2563157d426f103e60dd0a4632ddf
TAJO-2146: Fragment interface cleanup.--Closes #1015;1c44272bff0fc0022a1c8ce060b70d11a30c59e0
TAJO-2150: Fix invalid implementation of date time in jdbc.--Closes #1025;3de37746113d6534963396616485d5cc5ff50501
TAJO-2157: EvalNodeSerializer/Deserializer should use new Type implementation.--Closes #1018;1e540bbb20236274aa8187310b5117f834745dca
TAJO-2151: Fix broken CI.--Closes #1022;30a46592c46a87cbbfba0486c72cc02f4a398369
