Dataset,#TrainingRelease,%training,%Defective in Training,%Defective in Testing,Classifier,Balancing,Feature Selection,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
tajo,1,0.5,0.001075268817204301,0.004838709677419355,IBk,No Sampling,No Feature Selection,0.0,2.0,1849.0,9.0,0.0,0.0,0.5,-0.0017626321974022763
tajo,1,0.5,0.001075268817204301,0.004838709677419355,NaiveBayes,No Sampling,No Feature Selection,3.0,45.0,1806.0,6.0,0.0625,0.3333333333333333,0.6547811993517018,0.09791167408421614
tajo,1,0.5,0.001075268817204301,0.004838709677419355,RandomForest,No Sampling,No Feature Selection,0.0,1.0,1850.0,9.0,0.0,0.0,0.6601836844948676,-9.686793671225923E-4
tajo,1,0.5,0.001075268817204301,0.004838709677419355,IBk,No Sampling,Feature Selection,0.0,7.0,1844.0,9.0,0.0,0.0,0.6488684795005702,-0.004251872848750531
tajo,1,0.5,0.001075268817204301,0.004838709677419355,NaiveBayes,No Sampling,Feature Selection,2.0,35.0,1816.0,7.0,0.05405405405405406,0.2222222222222222,0.6545110750945435,0.0797936249911642
tajo,1,0.5,0.001075268817204301,0.004838709677419355,RandomForest,No Sampling,Feature Selection,0.0,3.0,1848.0,9.0,0.0,0.0,0.5464313584248754,-0.002425222312045285
tajo,1,0.002145922746781116,0.5,0.004838709677419355,IBk,UnderSampling,No Feature Selection,3.0,60.0,1791.0,6.0,0.047619047619047616,0.3333333333333333,0.650099045560958,0.0755049478107619
tajo,1,0.002145922746781116,0.5,0.004838709677419355,NaiveBayes,UnderSampling,No Feature Selection,3.0,60.0,1791.0,6.0,0.047619047619047616,0.3333333333333333,0.6509094183324329,0.0755049478107619
tajo,1,0.002145922746781116,0.5,0.004838709677419355,RandomForest,UnderSampling,No Feature Selection,3.0,60.0,1791.0,6.0,0.047619047619047616,0.3333333333333333,0.652019929167417,0.0755049478107619
tajo,1,0.002145922746781116,0.5,0.004838709677419355,IBk,UnderSampling,Feature Selection,3.0,59.0,1792.0,6.0,0.04838709677419355,0.3333333333333333,0.6507293354943274,0.07670454545454611
