Dataset;#TrainingRelease;#AttributeNoFilter;#AttributeFiltered;Classifier;Precision;Recall;AUC;Kappa
tajo;1;13;4;IBk;0.0;0.0;0.6488684795005702;-0.004251872848750531
tajo;1;13;4;NaiveBayes;0.05405405405405406;0.2222222222222222;0.6545110750945435;0.0797936249911642
tajo;1;13;4;RandomForest;0.0;0.0;0.5464313584248754;-0.002425222312045285
tajo;2;13;3;IBk;0.0;0.0;0.3865551312359823;-0.002911679068262725
tajo;2;13;3;NaiveBayes;0.03571428571428571;0.037037037037037035;0.6101614434947769;0.021907369924991697
tajo;2;13;3;RandomForest;0.0;0.0;0.48308783415166395;-0.002911679068262725
tajo;3;13;3;IBk;0.5;0.025;0.40489697802197805;0.04566444330426091
tajo;3;13;3;NaiveBayes;0.07865168539325842;0.175;0.639842032967033;0.08126449617730498
tajo;3;13;3;RandomForest;0.0;0.0;0.49899725274725276;0.0
tajo;4;13;8;IBk;0.75;0.11538461538461539;0.9023091814159292;0.19399104434493988
tajo;4;13;8;NaiveBayes;0.0;0.0;0.8801214686861811;0.0
tajo;4;13;8;RandomForest;1.0;0.09615384615384616;0.8859928097345132;0.17137440758293812
